Caching statewide totals and rates...
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Barrington, RI0010100                       |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Offense                                     | Agency count | State count | Agency rate        | State rate          | +/-                  |
| Identity Theft                              | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| Hacking/Computer Invasion                   | 0            | 1           | 0.0                | 0.09476391465940902 | -0.09476391465940902 |
| Animal Cruelty                              | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
+---------------------------------------------+--------------+-------------+-------------+---------------------+-----+
| Bristol, RI0010000                          |
+---------------------------------------------+--------------+-------------+-------------+---------------------+-----+
| Offense                                     | Agency count | State count | Agency rate | State rate          | +/- |
+---------------------------------------------+--------------+-------------+-------------+---------------------+-----+
| Not Specified                               | 0            | 0           | NaN         | 0.0                 | NaN |
| Justifiable Homicide                        | 0            | 2           | NaN         | 0.18952782931881804 | NaN |
| False Pretenses/Swindle/Confidence Game     | 0            | 2619        | NaN         | 248.18669249299222  | NaN |
| Statutory Rape                              | 0            | 28          | NaN         | 2.6533896104634525  | NaN |
| Sexual Assault With An Object               | 0            | 36          | NaN         | 3.4115009277387247  | NaN |
| Destruction/Damage/Vandalism of Property    | 0            | 7909        | NaN         | 749.4878010412659   | NaN |
| Family Offenses                             | 0            | 0           | NaN         | 0.0                 | NaN |
| Theft of Motor Vehicle Parts or Accessories | 0            | 850         | NaN         | 80.54932746049766   | NaN |
| Pornography/Obscene Material                | 0            | 175         | NaN         | 16.583685065396576  | NaN |
| Sports Tampering                            | 0            | 0           | NaN         | 0.0                 | NaN |
| Driving Under the Influence                 | 0            | 0           | NaN         | 0.0                 | NaN |
| Counterfeiting/Forgery                      | 0            | 553         | NaN         | 52.40444480665318   | NaN |
| Welfare Fraud                               | 0            | 8           | NaN         | 0.7581113172752721  | NaN |
| Pocket-picking                              | 0            | 33          | NaN         | 3.1272091837604976  | NaN |
| Theft From Motor Vehicle                    | 0            | 3962        | NaN         | 375.4546298805785   | NaN |
| Assisting or Promoting Prostitution         | 0            | 15          | NaN         | 1.4214587198911353  | NaN |
| Drug/Narcotic Violations                    | 0            | 3585        | NaN         | 339.7286340539813   | NaN |
| Wire Fraud                                  | 0            | 136         | NaN         | 12.887892393679627  | NaN |
| Purse-snatching                             | 0            | 33          | NaN         | 3.1272091837604976  | NaN |
| Runaway                                     | 0            | 0           | NaN         | 0.0                 | NaN |
| Arson                                       | 0            | 140         | NaN         | 13.266948052317263  | NaN |
| Motor Vehicle Theft                         | 0            | 1114        | NaN         | 105.56700093058164  | NaN |
| Drunkenness                                 | 0            | 0           | NaN         | 0.0                 | NaN |
| Shoplifting                                 | 0            | 2156        | NaN         | 204.31100000568583  | NaN |
| Operating/Promoting/Assisting Gambling      | 0            | 30          | NaN         | 2.8429174397822705  | NaN |
| Bad Checks                                  | 0            | 0           | NaN         | 0.0                 | NaN |
| Extortion/Blackmail                         | 0            | 26          | NaN         | 2.4638617811446344  | NaN |
| Aggravated Assault                          | 0            | 1356        | NaN         | 128.49986827815863  | NaN |
| Stolen Property Offenses                    | 0            | 521         | NaN         | 49.3719995375521    | NaN |
| Kidnapping/Abduction                        | 0            | 34          | NaN         | 3.2219730984199066  | NaN |
| Prostitution                                | 0            | 41          | NaN         | 3.8853205010357694  | NaN |
| Betting/Wagering                            | 0            | 0           | NaN         | 0.0                 | NaN |
| Murder and Nonnegligent Manslaughter        | 0            | 29          | NaN         | 2.7481535251228615  | NaN |
| Peeping Tom                                 | 0            | 0           | NaN         | 0.0                 | NaN |
| Trespass of Real Property                   | 0            | 0           | NaN         | 0.0                 | NaN |
| Drug Equipment Violations                   | 0            | 7           | NaN         | 0.6633474026158631  | NaN |
| Rape                                        | 0            | 338         | NaN         | 32.03020315488025   | NaN |
| Embezzlement                                | 0            | 185         | NaN         | 17.53132421199067   | NaN |
| Negligent Manslaughter                      | 0            | 0           | NaN         | 0.0                 | NaN |
| Weapon Law Violations                       | 0            | 935         | NaN         | 88.60426020654742   | NaN |
| Robbery                                     | 0            | 545         | NaN         | 51.646333489377916  | NaN |
| Credit Card/Automated Teller Machine Fraud  | 0            | 879         | NaN         | 83.29748098562052   | NaN |
| Curfew/Loitering/Vagrancy Violations        | 0            | 0           | NaN         | 0.0                 | NaN |
| Sodomy                                      | 0            | 59          | NaN         | 5.591070964905132   | NaN |
| Intimidation                                | 0            | 711         | NaN         | 67.37714332283981   | NaN |
| All Other Larceny                           | 0            | 4957        | NaN         | 469.7447249666905   | NaN |
| Impersonation                               | 0            | 229         | NaN         | 21.700936457004666  | NaN |
| Theft From Building                         | 0            | 2347        | NaN         | 222.41090770563295  | NaN |
| All Other Offenses                          | 0            | 0           | NaN         | 0.0                 | NaN |
| Burglary/Breaking & Entering                | 0            | 3679        | NaN         | 348.63644203196577  | NaN |
| Theft From Coin-Operated Machine or Device  | 0            | 2           | NaN         | 0.18952782931881804 | NaN |
| Simple Assault                              | 0            | 6921        | NaN         | 655.8610533577698   | NaN |
| Liquor Law Violations                       | 0            | 0           | NaN         | 0.0                 | NaN |
| Disorderly Conduct                          | 0            | 0           | NaN         | 0.0                 | NaN |
| Gambling Equipment Violation                | 0            | 1           | NaN         | 0.09476391465940902 | NaN |
| Incest                                      | 0            | 2           | NaN         | 0.18952782931881804 | NaN |
| Fondling                                    | 0            | 255         | NaN         | 24.1647982381493    | NaN |
| Bribery                                     | 0            | 2           | NaN         | 0.18952782931881804 | NaN |
| Human Trafficking                           | 0            | 6           | NaN         | 0.5685834879564541  | NaN |
| Human Trafficking                           | 0            | 1           | NaN         | 0.09476391465940902 | NaN |
| Purchasing Prostitution                     | 0            | 3           | NaN         | 0.28429174397822704 | NaN |
| Identity Theft                              | 0            | 2           | NaN         | 0.18952782931881804 | NaN |
| Hacking/Computer Invasion                   | 0            | 1           | NaN         | 0.09476391465940902 | NaN |
| Animal Cruelty                              | 0            | 0           | NaN         | 0.0                 | NaN |
+---------------------------------------------+--------------+-------------+-------------+---------------------+-----+
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Bristol, RI0010200                          |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Offense                                     | Agency count | State count | Agency rate        | State rate          | +/-                  |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Not Specified                               | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Justifiable Homicide                        | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| False Pretenses/Swindle/Confidence Game     | 17           | 2619        | 76.59727854375056  | 248.18669249299222  | -171.58941394924165  |
| Statutory Rape                              | 1            | 28          | 4.505722267279445  | 2.6533896104634525  | 1.8523326568159928   |
| Sexual Assault With An Object               | 1            | 36          | 4.505722267279445  | 3.4115009277387247  | 1.0942213395407205   |
| Destruction/Damage/Vandalism of Property    | 100          | 7909        | 450.5722267279445  | 749.4878010412659   | -298.91557431332143  |
| Family Offenses                             | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Theft of Motor Vehicle Parts or Accessories | 1            | 850         | 4.505722267279445  | 80.54932746049766   | -76.04360519321821   |
| Pornography/Obscene Material                | 0            | 175         | 0.0                | 16.583685065396576  | -16.583685065396576  |
| Sports Tampering                            | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Driving Under the Influence                 | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Counterfeiting/Forgery                      | 10           | 553         | 45.05722267279445  | 52.40444480665318   | -7.347222133858729   |
| Welfare Fraud                               | 0            | 8           | 0.0                | 0.7581113172752721  | -0.7581113172752721  |
| Pocket-picking                              | 0            | 33          | 0.0                | 3.1272091837604976  | -3.1272091837604976  |
| Theft From Motor Vehicle                    | 21           | 3962        | 94.62016761286834  | 375.4546298805785   | -280.8344622677102   |
| Assisting or Promoting Prostitution         | 0            | 15          | 0.0                | 1.4214587198911353  | -1.4214587198911353  |
| Drug/Narcotic Violations                    | 64           | 3585        | 288.3662251058845  | 339.7286340539813   | -51.3624089480968    |
| Wire Fraud                                  | 6            | 136         | 27.034333603676668 | 12.887892393679627  | 14.146441209997041   |
| Purse-snatching                             | 1            | 33          | 4.505722267279445  | 3.1272091837604976  | 1.3785130835189476   |
| Runaway                                     | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Arson                                       | 0            | 140         | 0.0                | 13.266948052317263  | -13.266948052317263  |
| Motor Vehicle Theft                         | 7            | 1114        | 31.540055870956113 | 105.56700093058164  | -74.02694505962553   |
| Drunkenness                                 | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Shoplifting                                 | 14           | 2156        | 63.080111741912226 | 204.31100000568583  | -141.2308882637736   |
| Operating/Promoting/Assisting Gambling      | 0            | 30          | 0.0                | 2.8429174397822705  | -2.8429174397822705  |
| Bad Checks                                  | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Extortion/Blackmail                         | 0            | 26          | 0.0                | 2.4638617811446344  | -2.4638617811446344  |
| Aggravated Assault                          | 7            | 1356        | 31.540055870956113 | 128.49986827815863  | -96.95981240720252   |
| Stolen Property Offenses                    | 6            | 521         | 27.034333603676668 | 49.3719995375521    | -22.33766593387543   |
| Kidnapping/Abduction                        | 0            | 34          | 0.0                | 3.2219730984199066  | -3.2219730984199066  |
| Prostitution                                | 0            | 41          | 0.0                | 3.8853205010357694  | -3.8853205010357694  |
| Betting/Wagering                            | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Murder and Nonnegligent Manslaughter        | 0            | 29          | 0.0                | 2.7481535251228615  | -2.7481535251228615  |
| Peeping Tom                                 | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Trespass of Real Property                   | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Drug Equipment Violations                   | 0            | 7           | 0.0                | 0.6633474026158631  | -0.6633474026158631  |
| Rape                                        | 6            | 338         | 27.034333603676668 | 32.03020315488025   | -4.99586955120358    |
| Embezzlement                                | 1            | 185         | 4.505722267279445  | 17.53132421199067   | -13.025601944711223  |
| Negligent Manslaughter                      | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Weapon Law Violations                       | 4            | 935         | 18.02288906911778  | 88.60426020654742   | -70.58137113742964   |
| Robbery                                     | 2            | 545         | 9.01144453455889   | 51.646333489377916  | -42.634888954819026  |
| Credit Card/Automated Teller Machine Fraud  | 22           | 879         | 99.12588988014778  | 83.29748098562052   | 15.828408894527257   |
| Curfew/Loitering/Vagrancy Violations        | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Sodomy                                      | 1            | 59          | 4.505722267279445  | 5.591070964905132   | -1.0853486976256868  |
| Intimidation                                | 8            | 711         | 36.04577813823556  | 67.37714332283981   | -31.331365184604252  |
| All Other Larceny                           | 63           | 4957        | 283.86050283860504 | 469.7447249666905   | -185.88422212808547  |
| Impersonation                               | 3            | 229         | 13.517166801838334 | 21.700936457004666  | -8.183769655166332   |
| Theft From Building                         | 29           | 2347        | 130.6659457511039  | 222.41090770563295  | -91.74496195452906   |
| All Other Offenses                          | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Burglary/Breaking & Entering                | 16           | 3679        | 72.09155627647112  | 348.63644203196577  | -276.54488575549465  |
| Theft From Coin-Operated Machine or Device  | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| Simple Assault                              | 63           | 6921        | 283.86050283860504 | 655.8610533577698   | -372.0005505191648   |
| Liquor Law Violations                       | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Disorderly Conduct                          | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Gambling Equipment Violation                | 0            | 1           | 0.0                | 0.09476391465940902 | -0.09476391465940902 |
| Incest                                      | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| Fondling                                    | 3            | 255         | 13.517166801838334 | 24.1647982381493    | -10.647631436310965  |
| Bribery                                     | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| Human Trafficking                           | 0            | 6           | 0.0                | 0.5685834879564541  | -0.5685834879564541  |
| Human Trafficking                           | 0            | 1           | 0.0                | 0.09476391465940902 | -0.09476391465940902 |
| Purchasing Prostitution                     | 2            | 3           | 9.01144453455889   | 0.28429174397822704 | 8.727152790580664    |
| Identity Theft                              | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| Hacking/Computer Invasion                   | 0            | 1           | 0.0                | 0.09476391465940902 | -0.09476391465940902 |
| Animal Cruelty                              | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
+---------------------------------------------+--------------+-------------+-------------+---------------------+----------+
| Brown University, RI004239E                 |
+---------------------------------------------+--------------+-------------+-------------+---------------------+----------+
| Offense                                     | Agency count | State count | Agency rate | State rate          | +/-      |
+---------------------------------------------+--------------+-------------+-------------+---------------------+----------+
| Not Specified                               | 0            | 0           | NaN         | 0.0                 | NaN      |
| Justifiable Homicide                        | 0            | 2           | NaN         | 0.18952782931881804 | NaN      |
| False Pretenses/Swindle/Confidence Game     | 0            | 2619        | NaN         | 248.18669249299222  | NaN      |
| Statutory Rape                              | 0            | 28          | NaN         | 2.6533896104634525  | NaN      |
| Sexual Assault With An Object               | 0            | 36          | NaN         | 3.4115009277387247  | NaN      |
| Destruction/Damage/Vandalism of Property    | 25           | 7909        | Infinity    | 749.4878010412659   | Infinity |
| Family Offenses                             | 0            | 0           | NaN         | 0.0                 | NaN      |
| Theft of Motor Vehicle Parts or Accessories | 2            | 850         | Infinity    | 80.54932746049766   | Infinity |
| Pornography/Obscene Material                | 0            | 175         | NaN         | 16.583685065396576  | NaN      |
| Sports Tampering                            | 0            | 0           | NaN         | 0.0                 | NaN      |
| Driving Under the Influence                 | 0            | 0           | NaN         | 0.0                 | NaN      |
| Counterfeiting/Forgery                      | 0            | 553         | NaN         | 52.40444480665318   | NaN      |
| Welfare Fraud                               | 0            | 8           | NaN         | 0.7581113172752721  | NaN      |
| Pocket-picking                              | 0            | 33          | NaN         | 3.1272091837604976  | NaN      |
| Theft From Motor Vehicle                    | 2            | 3962        | Infinity    | 375.4546298805785   | Infinity |
| Assisting or Promoting Prostitution         | 0            | 15          | NaN         | 1.4214587198911353  | NaN      |
| Drug/Narcotic Violations                    | 0            | 3585        | NaN         | 339.7286340539813   | NaN      |
| Wire Fraud                                  | 0            | 136         | NaN         | 12.887892393679627  | NaN      |
| Purse-snatching                             | 0            | 33          | NaN         | 3.1272091837604976  | NaN      |
| Runaway                                     | 0            | 0           | NaN         | 0.0                 | NaN      |
| Arson                                       | 0            | 140         | NaN         | 13.266948052317263  | NaN      |
| Motor Vehicle Theft                         | 1            | 1114        | Infinity    | 105.56700093058164  | Infinity |
| Drunkenness                                 | 0            | 0           | NaN         | 0.0                 | NaN      |
| Shoplifting                                 | 1            | 2156        | Infinity    | 204.31100000568583  | Infinity |
| Operating/Promoting/Assisting Gambling      | 0            | 30          | NaN         | 2.8429174397822705  | NaN      |
| Bad Checks                                  | 0            | 0           | NaN         | 0.0                 | NaN      |
| Extortion/Blackmail                         | 0            | 26          | NaN         | 2.4638617811446344  | NaN      |
| Aggravated Assault                          | 0            | 1356        | NaN         | 128.49986827815863  | NaN      |
| Stolen Property Offenses                    | 0            | 521         | NaN         | 49.3719995375521    | NaN      |
| Kidnapping/Abduction                        | 0            | 34          | NaN         | 3.2219730984199066  | NaN      |
| Prostitution                                | 0            | 41          | NaN         | 3.8853205010357694  | NaN      |
| Betting/Wagering                            | 0            | 0           | NaN         | 0.0                 | NaN      |
| Murder and Nonnegligent Manslaughter        | 0            | 29          | NaN         | 2.7481535251228615  | NaN      |
| Peeping Tom                                 | 0            | 0           | NaN         | 0.0                 | NaN      |
| Trespass of Real Property                   | 0            | 0           | NaN         | 0.0                 | NaN      |
| Drug Equipment Violations                   | 0            | 7           | NaN         | 0.6633474026158631  | NaN      |
| Rape                                        | 1            | 338         | Infinity    | 32.03020315488025   | Infinity |
| Embezzlement                                | 0            | 185         | NaN         | 17.53132421199067   | NaN      |
| Negligent Manslaughter                      | 0            | 0           | NaN         | 0.0                 | NaN      |
| Weapon Law Violations                       | 0            | 935         | NaN         | 88.60426020654742   | NaN      |
| Robbery                                     | 0            | 545         | NaN         | 51.646333489377916  | NaN      |
| Credit Card/Automated Teller Machine Fraud  | 0            | 879         | NaN         | 83.29748098562052   | NaN      |
| Curfew/Loitering/Vagrancy Violations        | 0            | 0           | NaN         | 0.0                 | NaN      |
| Sodomy                                      | 0            | 59          | NaN         | 5.591070964905132   | NaN      |
| Intimidation                                | 1            | 711         | Infinity    | 67.37714332283981   | Infinity |
| All Other Larceny                           | 52           | 4957        | Infinity    | 469.7447249666905   | Infinity |
| Impersonation                               | 0            | 229         | NaN         | 21.700936457004666  | NaN      |
| Theft From Building                         | 45           | 2347        | Infinity    | 222.41090770563295  | Infinity |
| All Other Offenses                          | 0            | 0           | NaN         | 0.0                 | NaN      |
| Burglary/Breaking & Entering                | 7            | 3679        | Infinity    | 348.63644203196577  | Infinity |
| Theft From Coin-Operated Machine or Device  | 0            | 2           | NaN         | 0.18952782931881804 | NaN      |
| Simple Assault                              | 3            | 6921        | Infinity    | 655.8610533577698   | Infinity |
| Liquor Law Violations                       | 0            | 0           | NaN         | 0.0                 | NaN      |
| Disorderly Conduct                          | 0            | 0           | NaN         | 0.0                 | NaN      |
| Gambling Equipment Violation                | 0            | 1           | NaN         | 0.09476391465940902 | NaN      |
